id_fkt,fkt,firaisana,distrika
115091002,Amberobe,Ambohimiadana,Andramasina
106150010,Ambazaha,Miadanandriana,Manjakandriana
107350002,Ambavasambo,Marotsipoy,Anjozorobe
101001004,Ambatovinaky,1er Arrondissement,1er Arrondissement
106252004,Ambatovikinina,Ambohibao Sud,Manjakandriana
104110017,Ambatotsaraorina,Mahavelona,Ankazobe
103370003,Ambatotelo,Ambohipihaonana,Ambohidratrimo
101002010,Ambatoroka,2e Arrondissement,2e Arrondissement
107230003,Ambatonosy,Ambatomanoina,Anjozorobe
106090010,Ambatonikala,Alarobia,Manjakandriana
102379018,Ambatondralambo,Talata Volonondry,Antananarivo Avaradrano
103171019,Ambatonaorina,Merimandroso,Ambohidratrimo
101001003,Ambatonakanga Ambohitsorohitra,1er Arrondissement,1er Arrondissement
106012004,Ambatomivahy,Ambatolaona,Manjakandriana
101003023,Ambatomitsangana,3e Arrondissement,3e Arrondissement
102379025,Ambatomitsangana,Talata Volonondry,Antananarivo Avaradrano
103210014,Ambatomitsangana,Ampanotokana,Ambohidratrimo
104010014,Ambatomitsangana,Ankazobe,Ankazobe
107130006,Ambatomitsangana,Ambohimanarina Marovazaha,Anjozorobe
107310007,Ambatomitsangana,Ambohibary Vohilena,Anjozorobe
115130001,Ambatomitsangana,Fitsinjovana Bakaro,Andramasina
106371022,Ambatomitokona,Ambohitrolomahitsy,Manjakandriana
106371005,Ambatomiranty,Ambohitrolomahitsy,Manjakandriana
103210010,Ambatomirahavavy,Ampanotokana,Ambohidratrimo
105170001,Ambatomirahavavy,Ambatomirahavavy,Arivonimamo
117311004,Ambatomilona,Fenoarivo,Antananarivo Atsimondrano
103030007,Ambatomena,Anosiala,Ambohidratrimo
106251001,Ambatomena,Ambatomena,Manjakandriana
103350009,Ambatombositra,Antanetibe,Ambohidratrimo
103350006,Ambatomboahangy,Antanetibe,Ambohidratrimo
104010010,Ambatomasina,Ankazobe,Ankazobe
106272002,Ambatomasina,Antsahalalina,Manjakandriana
101005027,Ambatomaro Antsobolo,5e Arrondissement,5e Arrondissement
117210003,Ambatomanoina Lovasoa,Soalandy,Antananarivo Atsimondrano
107230001,Ambatomanoina,Ambatomanoina,Anjozorobe
103310010,Ambatomanjaka,Mahabo,Ambohidratrimo
106070001,Ambatomanga,Ambatomanga,Manjakandriana
103430007,Ambatomanana,Avaratsena,Ambohidratrimo
102010011,Ambatomalaza,Alasora,Antananarivo Avaradrano
102230010,Ambatomalaza,Ambohimalaza Miray,Antananarivo Avaradrano
117410007,Ambatomalaza,Androhibe,Antananarivo Atsimondrano
101005001,Ambatomainty,5e Arrondissement,5e Arrondissement
103090004,Ambatomainty,Iarinarivo,Ambohidratrimo
103130005,Ambatomainty,Ambohitrimanjaka,Ambohidratrimo
106390016,Ambatomainty,Sadabe,Manjakandriana
102379021,Ambatomahamanina,Talata Volonondry,Antananarivo Avaradrano
106030003,Ambatomafana,Sambaina,Manjakandriana
117430009,Ambatolokanga,Tsiafahy,Antananarivo Atsimondrano
106012001,Ambatolaona Ouest,Ambatolaona,Manjakandriana
106012005,Ambatolaona Est,Ambatolaona,Manjakandriana
103172001,Ambatolampy Tsimahafotsy,Ambatolampy,Ambohidratrimo
103130001,Ambatolampy Avaratra,Ambohitrimanjaka,Ambohidratrimo
103130023,Ambatolampy Atsimo,Ambohitrimanjaka,Ambohidratrimo
101006004,Ambatolampy,6e Arrondissement,6e Arrondissement
102210005,Ambatolampy,Manandriana,Antananarivo Avaradrano
106210004,Ambatolampy,Ambanitsena,Manjakandriana
115071003,Ambatolampy,Alatsinainy Bakaro,Andramasina
117350006,Ambatolampy,Ambohijanaka,Antananarivo Atsimondrano
106210007,Ambatokely,Ambanitsena,Manjakandriana
107310011,Ambatokely,Ambohibary Vohilena,Anjozorobe
101005022,Ambatokaranana,5e Arrondissement,5e Arrondissement
103390002,Ambatoharanana,Ambato,Ambohidratrimo
104190005,Ambatoharanana,Antakavana,Ankazobe
117430001,Ambatofotsy Gara,Tsiafahy,Antananarivo Atsimondrano
106390018,Ambatofotsy Atsinanana,Sadabe,Manjakandriana
102079009,Ambatofotsy,Sabotsy Namehana,Antananarivo Avaradrano
102230001,Ambatofotsy,Ambohimalaza Miray,Antananarivo Avaradrano
